timestamp,elapsed_s,ENGINE_LOAD,COOLANT_TEMP,RPM,SPEED,ACCEL_PEDAL_D,WARMUPS_SINCE_CLEAR,DIST_SINCE_CLEAR,BAROMETRIC,CONTROL_VOLTAGE,RUN_TIME,DIST_WITH_MIL
2026-03-17T09:04:16.104,0.0,46.7,66,1734.0,14,23.1,255,5215,99,14.59,151,0
2026-03-17T09:04:17.233,1.13,49.8,66,1802.0,16,23.5,244,65535,99,14.67,152,0
2026-03-17T09:04:18.234,2.13,45.1,66,1656.0,17,15.3,255,65535,99,14.55,153,0
2026-03-17T09:04:19.334,3.23,15.3,66,1416.0,17,15.3,255,65535,99,14.51,154,0
2026-03-17T09:04:20.413,4.31,22.7,66,1256.0,15,15.3,255,5215,99,14.57,155,0
2026-03-17T09:04:21.485,5.38,27.5,66,1326.0,13,15.3,255,65535,99,14.54,157,0
2026-03-17T09:04:22.513,6.41,23.9,67,1300.0,9,15.3,255,65535,99,14.51,158,0
2026-03-17T09:04:23.565,7.46,23.9,67,1169.5,4,15.3,255,65535,99,14.59,159,0
2026-03-17T09:04:24.585,8.48,52.5,67,1483.8,5,23.5,255,65535,99,14.55,160,0
2026-03-17T09:04:25.602,9.5,61.2,67,1696.0,9,24.3,255,65535,99,14.49,161,0
2026-03-17T09:04:26.629,10.53,60.8,67,2012.0,14,24.3,255,65535,99,14.53,162,39
2026-03-17T09:04:27.706,11.6,50.2,67,2434.0,16,24.3,255,65535,99,14.51,163,0
2026-03-17T09:04:28.750,12.65,52.9,67,1614.0,19,24.3,255,65535,99,14.53,164,0
2026-03-17T09:04:29.750,13.65,57.6,67,1714.0,21,19.2,255,5215,99,14.51,165,0
2026-03-17T09:04:30.750,14.65,25.9,68,1814.0,21,19.2,255,65535,99,14.86,166,0
2026-03-17T09:04:31.752,15.65,22.4,68,1722.0,21,19.2,255,65535,99,14.56,167,0
2026-03-17T09:04:32.753,16.65,21.2,68,1658.0,21,19.2,255,5215,99,14.55,168,0
2026-03-17T09:04:33.753,17.65,22.0,68,1678.0,21,19.6,244,65535,99,14.58,169,0
2026-03-17T09:04:34.753,18.65,23.9,68,1658.0,21,20.0,255,5215,99,14.55,170,0
2026-03-17T09:04:35.753,19.65,31.0,68,1706.0,22,20.4,255,65535,99,14.58,171,0
2026-03-17T09:04:36.771,20.67,30.2,68,1766.0,22,20.0,255,65535,99,14.51,172,39
2026-03-17T09:04:37.889,21.78,30.6,68,1751.8,23,20.0,255,65535,99,14.54,173,0
2026-03-17T09:04:38.953,22.85,30.2,69,1783.8,24,20.0,255,65535,99,14.57,174,0
2026-03-17T09:04:39.953,23.85,31.0,69,1814.0,24,15.3,255,65535,99,14.52,175,0
2026-03-17T09:04:40.960,24.86,14.9,69,1564.0,23,15.3,255,65535,99,14.55,176,0
2026-03-17T09:04:41.960,25.86,19.2,69,1292.0,22,15.3,255,65535,99,14.58,177,0
2026-03-17T09:04:42.961,26.86,24.7,69,1280.0,21,15.3,255,65535,99,14.53,178,0
2026-03-17T09:04:43.962,27.86,26.3,69,1324.0,19,15.3,255,65535,99,14.58,179,0
2026-03-17T09:04:44.963,28.86,24.7,69,1308.0,18,15.3,255,65535,99,14.55,180,0
2026-03-17T09:04:45.963,29.86,23.5,69,1293.0,17,15.3,255,65535,99,14.55,181,0
2026-03-17T09:04:47.028,30.92,23.5,70,1302.0,16,15.3,255,5215,99,14.57,182,39
2026-03-17T09:04:48.102,32.0,23.9,70,1278.0,12,15.3,255,65535,99,14.31,183,0
2026-03-17T09:04:49.211,33.11,26.3,70,1300.0,9,15.3,255,65535,99,14.55,184,0
2026-03-17T09:04:50.211,34.11,25.5,70,1300.0,7,15.3,255,65535,99,14.53,185,0
2026-03-17T09:04:51.286,35.18,24.7,70,1174.0,4,15.3,255,65535,99,14.74,186,0
2026-03-17T09:04:52.330,36.23,25.5,70,1022.0,2,15.3,255,65535,99,14.47,187,0
2026-03-17T09:04:53.331,37.23,25.9,70,923.8,0,15.3,255,65535,99,14.72,188,0
2026-03-17T09:04:54.331,38.23,25.5,70,835.0,0,15.3,255,65535,99,14.43,189,39
2026-03-17T09:04:55.365,39.26,43.5,70,882.0,0,22.4,255,65535,99,14.57,190,0
2026-03-17T09:04:56.365,40.26,49.0,70,1196.0,0,23.9,255,65535,99,14.59,191,0
2026-03-17T09:04:57.365,41.26,45.1,70,1280.0,2,23.9,255,65535,99,14.53,192,39
2026-03-17T09:04:58.375,42.27,44.3,70,1304.0,3,22.4,255,65535,99,14.55,193,0
2026-03-17T09:04:59.410,43.31,27.1,70,1022.0,2,19.2,244,5215,99,14.49,194,0
2026-03-17T09:05:00.410,44.31,39.2,,1057.2,1,26.7,255,65535,99,14.59,195,0
2026-03-17T09:05:01.411,45.31,44.3,71,1174.0,1,18.4,255,65535,99,14.53,196,0
2026-03-17T09:05:02.447,46.34,48.2,71,1256.0,1,22.7,255,65535,99,14.84,197,0
2026-03-17T09:05:03.447,47.34,32.5,71,1100.0,0,22.0,255,65535,99,14.51,198,0
2026-03-17T09:05:04.451,48.35,58.0,71,1398.0,0,21.6,255,65535,99,14.54,200,0
2026-03-17T09:05:05.475,49.37,26.3,71,1142.0,0,20.8,244,5215,99,14.53,201,0
2026-03-17T09:05:06.476,50.37,47.5,71,1326.0,0,25.9,255,65535,99,14.49,202,0
2026-03-17T09:05:07.510,51.41,42.0,71,1284.0,1,22.0,255,65535,99,14.57,203,0
2026-03-17T09:05:08.510,52.41,29.8,71,1094.0,1,15.3,255,65535,99,14.53,204,0
2026-03-17T09:05:09.525,53.42,31.0,71,1030.0,0,17.3,244,65535,99,14.55,205,0
2026-03-17T09:05:10.525,54.42,32.5,71,1048.0,0,24.3,255,65535,99,14.54,206,0
2026-03-17T09:05:11.533,55.43,48.6,71,1262.0,0,18.8,255,65535,99,14.51,207,0
2026-03-17T09:05:12.533,56.43,32.2,71,1122.0,0,25.1,255,,99,14.58,208,0
2026-03-17T09:05:13.533,57.43,49.8,71,1320.0,1,22.7,255,65535,99,14.55,209,0
2026-03-17T09:05:14.535,58.43,27.1,72,1040.0,1,,255,65535,99,14.77,210,0
2026-03-17T09:05:15.535,59.43,28.2,72,986.0,0,22.0,255,65535,99,14.57,211,0
2026-03-17T09:05:16.540,60.44,55.7,72,1308.0,0,24.7,255,65535,99,14.54,212,0
2026-03-17T09:05:17.543,61.44,34.5,72,1112.0,1,15.3,255,65535,99,14.52,213,0
2026-03-17T09:05:18.544,62.44,34.5,72,992.0,0,15.3,255,65535,99,14.47,214,0
2026-03-17T09:05:19.544,63.44,32.9,72,882.0,1,16.9,255,65535,99,14.63,215,0
2026-03-17T09:05:20.544,64.44,40.4,72,890.0,2,15.3,255,65535,99,14.55,216,0
2026-03-17T09:05:21.554,65.45,42.0,72,832.0,4,15.3,255,65535,99,14.56,217,0
2026-03-17T09:05:22.554,66.45,29.4,72,828.0,2,15.3,244,65535,99,14.72,218,39
2026-03-17T09:05:23.597,67.49,29.8,72,822.0,1,15.3,255,65535,99,14.5,219,0
2026-03-17T09:05:24.597,68.49,29.0,72,808.0,0,15.3,255,65535,99,14.43,220,0
2026-03-17T09:05:25.726,69.62,29.0,72,800.0,0,22.0,255,65535,99,14.54,221,0
2026-03-17T09:05:26.741,70.64,43.1,72,1090.0,0,25.9,255,65535,99,14.53,222,0
2026-03-17T09:05:27.820,71.72,56.9,72,1198.0,1,22.0,255,65535,99,14.5,223,0
2026-03-17T09:05:28.820,72.72,53.3,72,1278.0,2,24.7,255,5215,99,14.54,224,0
2026-03-17T09:05:29.832,73.73,34.5,73,1048.0,2,22.0,255,65535,99,14.55,225,0
2026-03-17T09:05:30.832,74.73,53.3,73,1308.0,1,25.9,255,65535,99,14.53,226,0
2026-03-17T09:05:31.841,75.74,43.9,73,1206.0,2,15.3,255,65535,99,14.53,227,0
2026-03-17T09:05:32.842,76.74,35.3,73,1174.0,1,25.9,255,65535,99,14.54,228,0
2026-03-17T09:05:33.842,77.74,36.9,73,1182.0,1,21.2,255,65535,99,14.74,229,0
2026-03-17T09:05:34.844,78.74,28.6,73,1078.0,1,25.1,255,65535,99,14.55,230,0
2026-03-17T09:05:35.844,79.74,40.0,73,1094.0,1,15.3,255,65535,99,14.57,231,0
2026-03-17T09:05:36.844,80.74,27.8,73,996.0,0,15.3,255,65535,99,14.51,232,0
2026-03-17T09:05:37.845,81.74,24.7,73,854.0,0,15.3,255,65535,99,14.57,233,0
2026-03-17T09:05:38.845,82.74,25.5,73,798.0,0,15.3,255,65535,99,14.6,234,0
2026-03-17T09:05:39.845,83.74,27.8,73,800.0,0,15.3,255,65535,99,14.49,235,0
2026-03-17T09:05:40.870,84.77,27.8,73,800.0,0,15.3,255,65535,99,14.58,236,0
2026-03-17T09:05:41.870,85.77,27.5,73,814.0,0,15.3,255,65535,99,14.6,237,0
2026-03-17T09:05:42.884,86.78,27.8,73,814.0,0,15.3,255,65535,99,14.57,238,0
2026-03-17T09:05:43.903,87.8,27.8,73,812.0,0,15.3,255,65535,99,14.59,239,0
2026-03-17T09:05:44.925,88.82,27.1,73,804.0,0,15.3,255,65535,99,14.59,240,0
2026-03-17T09:05:45.925,89.82,26.7,74,806.0,0,15.3,244,65535,99,14.55,241,0
2026-03-17T09:05:46.925,90.82,27.1,74,804.0,0,15.3,255,65535,99,14.57,242,0
2026-03-17T09:05:47.926,91.82,27.1,74,812.0,0,15.3,255,65535,99,14.53,243,0
2026-03-17T09:05:48.926,92.82,27.1,74,806.0,0,15.3,255,65535,99,14.81,244,0
2026-03-17T09:05:49.961,93.86,27.1,74,802.0,0,15.3,255,65535,99,14.57,245,0
2026-03-17T09:05:50.983,94.88,27.1,74,812.0,0,15.3,255,65535,99,14.55,246,0
2026-03-17T09:05:52.000,95.9,27.1,74,812.0,0,15.3,255,65535,99,14.55,247,0
2026-03-17T09:05:53.000,96.9,26.7,74,806.0,0,15.3,255,65535,99,14.54,248,0
2026-03-17T09:05:54.000,97.9,26.7,74,802.0,0,15.3,255,65535,99,14.54,249,0
2026-03-17T09:05:55.001,98.9,26.3,74,806.0,0,15.3,255,65535,99,14.59,250,0
2026-03-17T09:05:56.018,99.91,26.3,74,808.0,0,15.3,244,65535,99,14.54,251,0
2026-03-17T09:05:57.018,100.91,26.3,74,806.0,0,15.3,255,65535,99,14.55,252,0
2026-03-17T09:05:58.018,101.91,26.7,74,798.0,0,15.3,255,65535,99,14.53,253,0
